razon_social,nombre_corto,rut,contacto_y_direccion,comuna,telefonos,correo_principal,correos_adicionales,categoria,resolucion
BERGER y BERGER LIMITADA,BERGER Y BERGER LTDA,77.171.220-7,Paulina Berger Recart Estado N°115 Oficina 307,Santiago,226332284,paulina@bergeryberger.cl,rodrigo@bergeryberger.cl,PRIMERA,2054 / 04-07-2018
COOPERATIVA ABIERTA DE VIVIENDA CONAVICOOP,CONAVICOOP,70.020.030-2,Andres Nuñez Roco Londres 94,Santiago,6005865500 / 227140198 / 227140201,legal@conavicoop.cl,rbonilla@conavicoop.cl,PRIMERA,2754 / 10-09-2018
ASESORIAS CON VIVIENDA LIMITADA,CONVIVIENDA LTDA.,96.786.070-0,Conavicoop Londres 94,Santiago,227140198 / 998440652 / 227140201,scgalvez@conavicoop.cl,icano@conservicios.cl / rbonilla@conavicoop.cl,PRIMERA,2753 / 10-09-2018
CORPORACIÓN DESARROLLO URBANO NUEVO SAN JOAQUIN,,65.012.860-5,"Lina Isolda Zamorano Ramírez Ramón Subercaseaux 1268, Oficina 407",San Miguel,224948301 / 976495176,nuevosanjoaquin@yahoo.com,lzamorano@cdu.cl,PRIMERA,1261 / 20-04-2018
GESTIÓN INMOBILIARIA EL CANELO LIMITADA,,76.021.386-1,"Domingo Fernando Valenzuela Durret Avda. Americo Vespucio Sur N°700, Piso 1 Y 7",Las Condes,225054208 / 225054071 / 225054160,dvd@cbiobio.cl,dvalenzuela@cbiobio.cl / nacevedo@cbiobio.cl,PRIMERA,936 / 08-03-2018
EME.PE.ELE. CONSTRUCTORA LIMITADA,EMEPEELE LTDA.,76.002.363-9,Tomas Carrasco Ulloa Av. Grecia N° 5720,Peñalolén,222728884 / 952554069 / 958678972,mpl.egis@gmail.com,paulaormeno.urbina@gmail.com / danielarv.ts@gmail.com,TERCERA,1226 / 30-04-2019
FUNDACIÓN DE VIVIENDAS HPH CHILE,,65.553.800-3,Scarlett Lizana Fernandez Gral. Bustamante N°26 Piso 7,Providencia,983833854 / 973384516,suzana@hphchile.cl,dlepe@hphchile.cl,PRIMERA,1631 / 29-05-2018
FUNDACION UN TECHO PARA CHILE,UN TECHO PARA MI PAÍS,65.533.130-1,Juan Cristóbal Beytía Reyes Avenida Departamental Nº 440,San Joaquín,22838734044 / 984187985 / 977927300,capellania@techo.org,,PRIMERA,255 / 02-02-2017
MUNICIPALIDAD DE LA FLORIDA,,69.070.700-4,Marcela Jopia Lissette Briones Av. Vicuña Mackenna Nº 10.777,La Florida,225054069 / 225054070,mlopez@laflorida.cl,dptoviviendalaflorida@gmail.com,ÚNICA,2265 / 24-07-2018
MUNICIPALIDAD DE LO ESPEJO,,69.255.100-1,Felipe Ortega Nuñez Avenida Central Cardenal Raúl Henríquez N° 8321,Lo Espejo,985085896 / 224856219 / 224856217,vivienda@loespejo.cl,fortega@loespejo.cl / alcaldia@loespejo.cl,ÚNICA,3360 / 07-12-2017
MUNICIPALIDAD DE PEÑALOLEN,,69.254.000-K,Sara Campos Veronica Soto Avda. Grecia Nº 8299,Peñalolén,974301948,atencionvivienda@penalolen.cl,scampos@penalolen.cl / vsoto@penalolen.cl,ÚNICA,1632 / 29-05-2018
MUNICIPALIDAD DE PUENTE ALTO,,69.072.100-7,Israel Farías Calle José Manuel Irrarazaval Nº 185,Puente Alto,227315317 / 227315318 / 227315308,marisol.ibanez@mpuentealto.cl,israel.farias@mpuentealto.cl / cristian.berrios@mpuentealto.cl,ÚNICA,2555 / 04-09-2017
MUNICIPALIDAD DE RECOLETA,,69.254.800-0,"Evelyn Valenzuela Isabel Salfate Avda. Recoleta Nº 2774, Piso 2",Recoleta,920709169 / 229457114 / 229457538,fjadue@recoleta.cl,evalenzuela@recoleta.cl / mosanchez@recoleta.cl,ÚNICA,1919 / 26-06-2018
INMOBILIARIA Y CONSTRUCTORA INSOC LIMITADA,INSOC LTDA.,76.961.330-7,"José Luis Elicer Gutierrez Calle Moneda Nº 920, Depto. 202",Santiago,993203419 / 226973887 / 993204409,j.elicer@insoc.cl,a.ibarra@insoc.cl / r.rojas@insoc.cl,PRIMERA,1259 / 20-04-2018
"ORBE, RODOLFO RODRIGO TORRES MIRANDA E.I.R.L",ORBE E.I.R.L.,76.347.350-3,Rodolfo Rodrigo Torres Miranda Calle Alonso De Cordova N°2681 Depto. 402,Vitacura,232242220 / 232242221 / 998864396,orbeeirl@yahoo.es,,TERCERA,1403 / 07-05-2018
ASESORÍAS GESTIÓN VIVIENDA LIMITADA,,76.003.928-4,"Pilar Goycoolea Ferrer Calle Román Díaz N° 221, Casa B",Providencia,223358006 / 991393194 / 968483233,francisco@urbanismosocial.cl,paola@urbanismosocial.cl / pilar@urbanismosocial.cl,PRIMERA,1253 / 20-04-2018
GESTIÓN INMOBILIARIA CASABLANCA SPA,,76.017.195-6,Eric Manuel Oyaneder Hidalgo Calle Las Brisas N° 213,La Cisterna,222125943 / 979886862,silvia.oyander@egiscasablanca.cl,p.jaracasablanca@gmail.com / ericoyaneder@gmail.com,PRIMERA,3100 / 23-10-2018
GESTIONES Y SOLUCIONES HABITACIONALES E INMOBILIARIA LIMITADA,INMOBILIARIA SOLHABIT LTDA,76.012.162-2,Paulina Del Rosario Ramírez Farías Calle Serrano Nº 319,Melipilla,228311319 / 90237371 / 228326541,solhabit@hotmail.com,,TERCERA,933 / 08-03-2018
EMILE STRAUB Y COMPAÑÍA LIMITADA,STRAUB CONSULTORA LTDA.,76.614.810-7,Emile Sebastián Straub Barros Diagonal Oriente N°1.490,Providencia,98185490 / 94850347,emilestraubbarros@gmail.com,straub.consultora@gmail.com / danielstraub@gmail.com,PRIMERA,2264 / 24-07-2018
TECNOINGENIERIA SPA,,77.877.320-1,"Yasna Alejandra Hernández Poblete General Bulnes Nº 139, Oficina N° 64",Santiago,966993031 / 998749594 / 226968675,yhernandez@tecnoingenieria.cl,tecnoingenieria@tecnoingenieria.cl / vflores@tecnoingenieria.cl,PRIMERA,3255 / 07-11-2018
CONSULTORA V Y S LIMITADA,VEYESE CONSULTORES LTDA.,76.117.600-5,"Rossana Jimena Vicentelo Lay Presidente Juan Antonio Rios N°33, Depto. 01",Santiago,226331228 / 226326454 / 991006510,consultoraveyese@gmail.com,rossanavicentelo@gmail.com,SEGUNDA,2756 / 10-09-2018
ENTIDAD ORGANIZADORA Y CONSULTORA HABITACIONAL NUEVA VIVIENDA SPA,NUEVA VIVIENDA SPA,76.625.360-1,"Marco Rodrigo Pacheco Cisterna Calle San Antonio N° 19, Oficina N° 1805",Santiago,222471100,contacto@nuevavivienda.cl,,PRIMERA,1836 / 15-06-2017
SEREY Y OTROS ASOCIADOS LIMITADA,CREAR ASOCIADOS,76.026.827-5,"Esteban Serey - Oficina Central Calle Nueva York N° 09, Of. 1101, Piso 11",Santiago,976029680 / 223899500 / 991055856,crear@grupocrear.cl,esteban.serey@grupocrear.cl,PRIMERA,2129 / 17-07-2018
MUNICIPALIDAD DE CERRO NAVIA,,69.254.200-2,Carolina Beroiz Lillo Calle Del Consistorial N° 6645,Cerro Navia,942048145 / 222384184 / 992513107,mario.cancino@cerronavia.cl,carolina.beroiz@cerronavia.cl / consultas.vivienda@cerronavia.cl,ÚNICA,2363 / 10-08-2017
MUNICIPALIDAD DE PEDRO AGUIRRE CERDA,,69.254.900-7,Mariana Silva Av. Presidente Salvador Allende N°2029,Pedro Aguirre Cerda,223965074 / 223965040,egis.coordinadora@pedroaguirrecerda.cl,administrativovivienda@pedroaguirrecerda.cl,ÚNICA,3493 / 26-12-2017
EPS AGENCIA HABITACIONAL LIMITADA,,76.730.530-3,"Claudia Alejandra Nash Lavín Calle San Sebastián Nº 2807, Of.213",Las Condes,229014753,cnash@nash.cl,patricia@nash.cl,PRIMERA,2357 / 10-08-2017
CENTRO DE ORIENTACION HABITACIONAL CENOHABIT LIMITADA,CENOHABIT LIMITADA,50.278.660-1,"Nicolas Farías Chacón Ahumada N°236, Oficina 513",Santiago,232243952 / 942510918,rpena@cenohabit.cl,contacto@cenohabit.cl,TERCERA,2914 / 05-10-2018
PEHUÉN S.A.,,76.893.260-3,"Jorge Enoc Rozas Ramírez Paseo Estado N° 115, Of Nº 1208.",Santiago,975887368,pehuen@pehuensa.cl,jrozas@pehuensa.cl / jrozas@pehuenes.cl,PRIMERA,932 / 08-03-2018
MUNICIPALIDAD DE LA PINTANA,,69.253.800-5,Militza Vittari Urribari Calle Baldomero Lillo Nº 1966,La Pintana,223896350 / 223896351,mvitali@pintana.cl,mcfuentes@pintana.cl,ÚNICA,1842 / 20-06-2018
ZETA S.A.,,96.520.170-K,"Italo Eliseo Patricio Nuñez Nuñez Calle Serrano Nº 14, Of. 304",Santiago,992344473 / 226335072,eduardo.nunez@zeta.cl,tatiana.baro@zeta.cl / apadilla@zeta.cl,TERCERA,2559 / 04-09-2017
MUNICIPALIDAD DE COLINA,,69.071.500-7,Ferananda Alfaro Palomo Avenida Colina Nª 700,Colina,227073303 / 227073302 / 227073304,Isabel.valenzuela@colina.cl,alcaldia@colina.cl,ÚNICA,1837 / 15-06-2017
MUNICIPALIDAD DE INDEPENDENCIA,,69.255.500-7,Maria Paz Ross Gauna Avenida Independencia N° 753,Independencia,223631050,mpross@independencia.cl,fpujado@independencia.cl,ÚNICA,2135 / 17-07-2017
SOCIEDAD DE SERVICIOS PROFESIONALES PROYECTA ARQUITECTOS CONSULTORES LIMITADA,PROYECTA ARQUITECTOS LTDA.,76.879.530-4,"Marco Antonio Rojas Caamaño Av. Larraín N° 6642, Oficina N° 005",La Reina,968472303 / 222604534,egisproyecta@gmail.com,,SEGUNDA,717 / 21-02-2017
"GESTIÓN, ASESORÍA Y CONSTRUCCIÓN SPA",GACSA SPA,76.685.250-5,Luis Gonzalo Patricio Alegría Martínez General Freire N°440,La Cisterna,996447849,consultor@gacsa.cl,gacsaspa@gmail.com,TERCERA,2989 / 24-10-2017
MUNICIPALIDAD DE CURACAVI,,69.073.900-3,Karen Adasme Santibañez Av. Ambrosio O`Higgins Nº 1305,Curacaví,222992178,atencionvivienda@municipalidadcuracavi.cl,kadasme@municipalidadcuracavi.cl,ÚNICA,2852 / 13-10-2017
CONSULTORA ROIG LIMITADA,CONSULTORA ROIG LTDA.,76.033.036-1,Jessica Ivonne Sarmiento Ulloa Av. Francisco Bilbao Nº 656,Peñaflor,228129041 / 94549254 / 985962492,consultoraroigltda@gmail.com,info@consultoraroig.cl,PRIMERA,1461 / 15-05-2017
