region,razon_social,rut,contacto_y_direccion,telefonos,correos,categoria,resolucion
ARICA Y PARINACOTA,CONSULTORA Y ASESORÍAS TAURUS SPA,76.382.897-2,"PUPPY ROJAS NARANJO CALLE 7 DE JUNIO 176, OFC.402, EDIFICIO LAN ARICA",323195683,puppy.rojas@consultorataurus.cl / su-yinlay@hotmail.com,SEGUNDA,402 / 19-10-2017
ARICA Y PARINACOTA,ILUSTRE MUNICIPALIDAD DE ARICA,69.010.100-9,VALESKA JOFRE MORALES CALLE BELEN N° 1693 ARICA,432380205,vivienda@municipalidadarica.cl,ÚNICA,169 / 16-04-2018
ARICA Y PARINACOTA,SIAN SPA,76.601.806-8,"ALFREDO SALINAS CALLE ARTURO PRAT 391, PISO 9, OFICINA 91, EDIFICIO EMPRESARIAL ARICA",223583636,secretaria@empresassian.cl / asalinas@empresassian.cl,PRIMERA,258 / 28-06-2018
ARICA Y PARINACOTA,GESTORA MASHOGAR LTDA,76.360.076-9,INGRID VALDEBENITO DIEGO PORTALES N° 651 ARICA,(58)2293208 937200731 940545730,ingridvn@gestoramashogar.cl,PRIMERA,217 / 22-05-2018
ARICA Y PARINACOTA,SOCIEDAD INMOBILIARIA MODOHOGAR SPA,77.171.271-1,"EVELYN CORTES VELIZ SAN MARCOS N° 438, OF.22 ARICA",956796573,modohogar.arica@gmail.com / contacto@epmodohogar.cl,TERCERA,269 / 11-09-2020
ARICA Y PARINACOTA,ILUSTRE MUNICIPALIDAD DE PUTRE,69.250.800-9,"RUBEN UBILLO RAMIREZ JOSE MIGUEL CARRERA N° 350, PUTRE ARICA",58-2572515,ruben.ubillo@imputre.cl,ÚNICA,249 / 21-08-2020
ARICA Y PARINACOTA,MARA SPA,77.247.099-1,RENE HUARACHE ROMULO PEÑA N° 1456 ARICA,58-2297878,contacto@maraarquitectos.cl,TERCERA,286 / 24-08-2021
ARICA Y PARINACOTA,INMOBILIARIA SALFA AUSTRAL LTDA,96.610.790-1,"RODRIGO GARATE CANTO 21 DE MAYO N° 150, OFF.14 EDIFICIO EMPRESARIAL ARICA",969193513 973784818 934060784,rgarate@salfaustral.cl,PRIMERA,296 / 16-08-2022
ARICA Y PARINACOTA,CONSULTORA TERRA NORTE SPA,77.593.833-1,"VALENTINA SAN MARTIN CISTERNAS CALLE 7 DE JUNIO Nº 268, PISO 3 OFF. 340 EDIFICIO MIRABLAU ARICA",988616100,consultora.terranorte@gmail.com,TERCERA,402 / 14-10-2022
ARICA Y PARINACOTA,INMOBILIARIA VIVE HOGAR SPA,76.399.104-0,"FRANCISCO CABRERA YAÑEZ / VERONICA RIOS SANTIAGO ARATA GANDOLFO Nº 4551, LOCAL 8 ARICA",978575152 934579164 959066132,fcabrera@empresasarmas.cl / vrios@empresasarmas.cl,TERCERA,470 / 16-11-2023
ARICA Y PARINACOTA,B Y F SPA,77.173.422-7,PATRICIA FUENTES SALVATIERRA SOTOMAYOR 367 ARICA,995514104 965852952,inmobiliarianorteblancospa@gmail.com,TERCERA,479 / 23-11-2023
ARICA Y PARINACOTA,GESTION INMOBILIARIA M Y R SPA,77.771.628-K,ERNESTO MORALES ROJAS CALLE 18 DE SEPTIEMBRE Nº 1854 ARICA,944660912,edmorales_06@hotmail.com,TERCERA,88 / 15-03-2024
ARICA Y PARINACOTA,CONSULTORA SOCALL SPA,77.834.342-8,"ISABEL PALLERES CABEZAS CALLE 7 DE JUNIO N° 268, PISO 4 OFCC. 430 EDIFICIO MIRABLAU ARICA",953736971,consultorasocallspa@gmail.com,TERCERA,241 / 11-07-2024
TARAPACÁ,ARQUITECTO CECILIA MALDONADO SAUNERO E.I.R.L.,77.742.609-5,CECILIA MALDONADO LOS PROMESEROS N°1912-A IQUIQUE,937869096,ep.legados@gmail.com,TERCERA,5 / 05-01-2024
TARAPACÁ,ARQUITECTO MARIANA TOLEDO RIVERA E.I.R.L.,76.861.713-9,"MARIANA TOLEDO ORELLA N°2095, OFICNA 204, EDIFICIO ORELLA IQUIQUE",981446358 950497976,mariana.toledo@consultoracreativa.cl / toledo.mariana@gmail.com,PRIMERA,239 / 07-05-2019
TARAPACÁ,ASBRAL SPA,77.914.439-9,"MIRTHA NEIRA SOTOMAYOR N°575, OFICINA 306 IQUIQUE",940055052 947894528,epasbral@gmail.com,PRIMERA,347 / 10-06-2024
TARAPACÁ,CONSTRUCCIONES CON SENTIDO SPA,76.644.201-3,"ROBERTO OLGUIEN SOTOMAYOR Nº625, OFICINA 302 IQUIQUE (57)2720040",,contacto@construyeconsentido.cl / rolguin@icsnorte.cl / ereyes@icsnorte.cl,TERCERA,272 / 04-05-2018
TARAPACÁ,CONSTRUCTORA E INMOBILIARIA ALDEBARAN LIMITADA,76.730.491-9,"MARIEL FLORES SOTOMAYOR Nº625, OFICINA 102 IQUIQUE",(57)2269056 995397479,info@sociedadaldebaran.cl / arquitecto@sociedadaldebaran.cl,TERCERA,353 / 31-05-2018
TARAPACÁ,CONSTRUCTORA SPENCER LIMITADA.,76.399.096-6,GLADYS RIVERA PASAJE SIBAYA N°2145 IQUIQUE,(57) 2795832 945867975,spencerconstrucciones@gmail.com / social.epspencer@gmail.com,TERCERA,149 / 23-02-2019
TARAPACÁ,EBCO S.A.,96.844.950-8,AYLING LEYTON SANTIAGO POLANCO N°2075 IQUIQUE,975290612,ayling.leyton@ebco.cl,TERCERA,15 / 14-01-2020
TARAPACÁ,"EGIS, GESTIÓN INMOBILIARIA SANTA FRANCISCA LIMITADA",76.042.887-6,"CLAUDIO ALEGRIA PATRICIO LYNCH N°91, OFICINA 302 IQUIQUE",572414451,calegria@epsantafrancisca.cl / cdiaz@epsantafrancisca.cl,PRIMERA,1121 / 25-11-2016
TARAPACÁ,EMPRESA DE SERVICIOS Y ASESORIAS DE GESTION INMOBILIARIA SOCIAL DOÑA ADRIANA SPA,77.451.634-4,NICOLAS ARAYA MANUEL RODRIGUEZ N°540 OFICINA 143 IQUIQUE,990981376,epdona.adriana@gmail.com / epdona.adriana.ofi@gmail.com,TERCERA,88 / 02-03-2022
TARAPACÁ,ENTIDAD PATROCINANTE JESSICA SANDOVAL QUIROGA E.I.R.L.,77.017.799-9,JESSICA SANDOVAL CALLE EDMUNDO WALLIS N°1935 IQUIQUE (57)-2765260 (57),276561 982170170,jessicasandovalq@gmail.com,TERCERA,370 / 09-07-2019
TARAPACÁ,ENTIDAD PATROCINANTE JUNTOS SPA,77.666.992-K,"FRANCISCO BEFFERMANN SIMON BOLIVAR N°202, OFICINA 507 IQUIQUE",950016684 978567502,francisco.beffermann@isiete.cl / solange.lobos@isiete.cl,PRIMERA,654 / 28-09-2023
