entidad,tipo,programas,sitio_web,email_contacto,telefono,direccion,presencia_rm,gremio,confianza_email,fuente
iSiete Grupo Inmobiliario,Inmobiliaria,DS19 / DS1,isiete.cl,contacto@isiete.cl,+56 9 3313 1363,Santiago (dirección no publicada),Sí,ADVS,alta,Página de contacto corporativa
Inmobiliaria ICuadra,Inmobiliaria,DS19 / privados,icuadra.cl,contacto@icuadra.cl,600 006 1030,Alonso de Córdova 5670 of. 803 Las Condes,Sí,ADVS,alta,Página de contacto
Inmobiliaria Koyam,Inmobiliaria,DS19 / DS1,koyam.cl,contacto@koyam.cl,+56 2 2896 9410,Av. Francisco Bilbao 1902 Providencia,Sí,ADVS,alta,Ficha directorio + sitio
Comosa Gestión Inmobiliaria,Inmobiliaria,DS19,comosa.cl,contacto@comosa.cl,+56 2 2899 6000,Carlos Antúnez 1920 Providencia,Sí,ADVS,alta,Ficha directorio
Inmobiliaria Noval,Inmobiliaria,DS19 / DS1 / DS49 colectivo,inoval.cl,postventainoval@inoval.cl (postventa),+56 2 2902 0600,Santiago,Sí,-,media,Sitio corporativo
Socovesa,Inmobiliaria,DS19 / DS1 / DS15,socovesa.cl,contacto@socovesa.cl,+56 2 2520 4100,Eliodoro Yáñez 2962 Providencia,Sí,ADI,alta,Página de subsidios del sitio
Pilares (Grupo Socovesa),Inmobiliaria,DS19 / DS1,pilares.cl,servicioalcliente@pilares.cl,+56 2 2840 7832,Providencia,Sí,ADI,alta,Página de postventa
Besalco Inmobiliaria,Inmobiliaria,DS19 / DS49 / DS1,besalcoinmobiliaria.cl,ventas@besalco.cl,+56 2 2338 0880,Ebro 2705 Las Condes,Sí,ADI,alta,Página de subsidios del sitio
Siena Inmobiliaria,Inmobiliaria,DS19 / DS1,siena.cl,informes@sienainmobiliaria.com,No publicado,Los Militares 6191 piso 12 Las Condes,Sí,-,alta,Página de contacto
Maestra Inmobiliaria,Inmobiliaria,DS19,maestra.cl,No publicado (solo denuncias@maestra.cl),+56 2 2940 9700,Av. Las Condes 14157 Las Condes,Sí — Presidente Prieto (P. Aguirre Cerda) y Brisas de Quilicura,-,baja,Página DS19 del sitio
PY Inmobiliaria,Inmobiliaria,DS19,py.cl,No publicado (ejecutivo por zona),+56 2 2439 3500,Suecia 0142 of. 901 Providencia,Sí,-,sin dato,Página DS19 del sitio
Inmobiliaria Los Silos,Inmobiliaria,DS19,ilossilos.cl,No publicado (correo por proyecto),+56 2 2811 4261,El Manzano 867 Padre Hurtado,Sí — Padre Hurtado y Renca,-,sin dato,Página de subsidios del sitio
Ecomac,Inmobiliaria,DS19 / Plan de Emergencia Habitacional,ecomac.cl,No publicado (formulario web),+56 2 2964 3999,Rosario Norte 532 piso 9 Las Condes (oficina Santiago),Sí — oficina Santiago,-,sin dato,Página de sucursales
Vive Tu Barrio,Inmobiliaria,DS19 / mini multifamily,vivetubarrio.cl,No publicado (formulario web),No publicado,Santiago,Sí,ADVS,sin dato,Sitio corporativo
Nexos Desarrollos Inmobiliarios,Inmobiliaria,DS19,No identificado,No publicado,No publicado,No publicado,Sí — proyectos DS19 en RM UF 2.300-2.750,ADVS,sin dato,Listado de proyectos DS19 RM
Convet,Inmobiliaria,DS19,convet.cl,No publicado (formulario web),No publicado,Santiago,Sí — proyecto en Independencia,-,sin dato,Sitio corporativo
Urbani,Inmobiliaria / portal,DS19 / DS1,urbani.cl,contacto@urbani.cl,+56 41 246 2278,Barros Arana 1098 of. 1705 Concepción,Parcial — opera nacional desde Concepción,-,alta,Página de contacto
IVL Inversiones Inmobiliarias,Inmobiliaria,DS19,ivl.cl,contacto@ivl.cl,No publicado,No publicado,No — Valparaíso/Concepción/Frutillar,-,alta,Página de contacto
Inmobiliaria CISS,Inmobiliaria,DS19,ciss.cl,No publicado (formulario web),No publicado,Concepción,No — Gran Concepción,-,sin dato,Sitio corporativo
TECHO-Chile (Inmobiliaria Social),Fundación / desarrolladora,DS49 colectivo,cl.techo.org,No publicado (formulario web),No publicado,Santiago,Sí,ADVS,sin dato,Página Inmobiliaria Social
Urbanismo Social / Fundación Gestión Vivienda,Fundación / Entidad Patrocinante,DS49 / DS19,urbanismosocial.cl,No publicado (formulario web),No publicado,Santiago,Sí,ADVS,sin dato,Sitio corporativo
DOMUM Entidad Patrocinante SpA,Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Inmobiliaria y Constructora INSOC Ltda,Constructora / Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Consultora e Inmobiliaria Hogar SpA,Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Entidad Organizadora y Consultora Habitacional Miraflores SpA,Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Consultora V y S Ltda,Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Emile Straub y Compañía Ltda,Entidad Patrocinante,DS49,No identificado,No publicado,No publicado,Región Metropolitana,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Ilustre Municipalidad de Huechuraba,Municipio / Entidad Patrocinante,DS49,huechuraba.cl,No publicado,No publicado,Huechuraba,Sí,-,sin dato,Nómina MINVU de entidades patrocinantes
Constructora OVAL (entidad patrocinante),Constructora / Entidad Patrocinante,DS49 / DS19,constructoraoval.cl,No publicado (formulario web),+56 2 2343 0660,Av. Pdte. Kennedy 5682 Vitacura,Sí,-,sin dato,Página de entidad patrocinante del sitio
Albores,Inmobiliaria,DS19 / DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Consolida,Inmobiliaria,DS19 / DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Urbanitas,Inmobiliaria,DS19 / DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Grupo Vías,Inmobiliaria,DS19 / DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Ciclos,Inmobiliaria,DS19 / DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Identidades,Inmobiliaria,DS19,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
Fundación Deportistas por un Sueño,Fundación,DS49,No identificado,No publicado,No publicado,No publicado,Por confirmar,ADVS,sin dato,Nómina de socios ADVS
