inmobiliaria,sitio_web,email_contacto_general,tipo_email,telefono,direccion_casa_matriz,comunas_santiago,segmento,confianza_email,fuente
Ingevec Inmobiliaria,ingevecinmobiliaria.cl,contactocomercial@ingevec.cl,comercial,+56 2 2410 0500,Cerro El Plomo 5680 Las Condes,"Ñuñoa, Santiago Centro, La Cisterna, Independencia, La Florida, Estación Central",Departamentos UF 2.500-4.500,alta,Sitio corporativo / ficha contacto
Paz (PazCorp),paz.cl,servicioalcliente@pazcorp.cl,servicio al cliente,600 346 0000 / +56 2 2863 5000,Av. Apoquindo 4501 piso 21 Las Condes,"Santiago Centro, Ñuñoa, Independencia, San Miguel, Estación Central",Departamentos exclusivamente,alta,Ficha corporativa
Santolaya,santolaya.cl,servicioalcliente@santolaya.cl,servicio al cliente,+56 2 2328 0800,Padre Mariano 181 piso 5 Providencia,"Ñuñoa, Providencia, Santiago Centro",Departamentos,alta,Página de contacto
Fundamenta,fundamenta.cl,contacto@fundamenta.cl,general,No publicado,Av. Pdte. Riesco 5561 of. 601 Las Condes,"Ñuñoa, Macul, La Florida, Estación Central, Santiago Centro, Cerrillos",Departamentos (línea Eco),alta,Política de privacidad del sitio
Inmobiliaria Actual,actual.cl,No publicado (formulario web),-,+56 2 3210 0800,Av. del Valle Sur 570 piso 2 Ciudad Empresarial Huechuraba,"Las Condes, Providencia, Vitacura, Ñuñoa, San Miguel, Huechuraba",Departamentos medio-alto,sin dato,Ficha directorio + sitio
Exxacon,exxacon.cl,No publicado (correo por proyecto: edificiowalk@exxacon.cl),por proyecto,+56 2 2952 7224,Reyes Lavalle 3340 of. 1101 Las Condes,"Ñuñoa, Las Condes, Providencia",Departamentos,media,Fichas de proyecto
Pilares (Grupo Socovesa),pilares.cl,servicioalcliente@pilares.cl,servicio al cliente,+56 2 2840 7832,Grupo Socovesa - Providencia,"Estación Central, Independencia, Ñuñoa",Departamentos,alta,Página de postventa
Inmobiliaria Aconcagua (SalfaCorp),iaconcagua.com,No publicado (formulario web),-,600 898 0600,Av. Pdte. Riesco 5335 piso 19 Las Condes,"Ñuñoa, y otras comunas RM",Departamentos y casas,sin dato,Ficha directorio
Norte Verde,norte-verde.cl,comercial@norte-verde.cl,comercial,+56 2 2838 6327,Los Dominicos 8630 of. 806 Las Condes,"Santiago Centro, Ñuñoa, Las Condes",Departamentos y oficinas,alta,Términos y condiciones del sitio
Inmobiliaria RVC,rvc.cl,atencionclientes@rvc.cl,servicio al cliente,+56 2 3450 400 / 600 410 0010,Los Conquistadores 1700 piso 5 Providencia,"Estación Central, Pedro Aguirre Cerda, Ñuñoa, Santiago Centro",Departamentos,alta,Página servicio al cliente
Maestra Inmobiliaria,maestra.cl,No publicado (solo denuncias@maestra.cl),-,+56 2 2940 9700,Av. Las Condes 14157 Las Condes,"Quilicura, Pedro Aguirre Cerda, San Joaquín",Departamentos (incluye subsidio),baja,Canal de denuncias
Inmobiliaria Los Silos,ilossilos.cl,No publicado (correo por proyecto: santamaria@ilossilos.cl),por proyecto,+56 2 2811 4261,El Manzano 867 Padre Hurtado,"Renca, Padre Hurtado, y otras RM",Departamentos y casas,media,Fichas de proyecto
Empresas Armas,iarmas.cl,clientes@empresasarmas.cl,clientes,+56 2 2631 4000 / 600 3602 674,Av. Manquehue Sur 1220 Las Condes,"Santiago Centro, Estación Central, La Florida y otras",Departamentos y casas,alta,Página experiencia clientes
Almagro (Grupo Socovesa),almagro.cl,No publicado (formulario web),-,+56 2 2372 6666,Padre Mariano 277 piso 7 Providencia,"Providencia, Ñuñoa, Las Condes, Vitacura",Departamentos alto estándar,sin dato,Ficha directorio
Socovesa,socovesa.cl,contacto@socovesa.cl,general,+56 2 2520 4100,Eliodoro Yáñez 2962 Providencia,Región Metropolitana (casas y deptos),Casas y departamentos,alta,Formulario de contacto del sitio
