correo,entidad,entidad_corta,saludo,nombre_contacto_aprox,rut,direccion_aprox,comuna,telefono_1,telefonos_todos,correos_adicionales,categoria,nota
2p.arquitectos@gmail.com,2P ARQUITECTOS LIMITADA,2P ARQUITECTOS LIMITADA,Estimados 2P ARQUITECTOS LIMITADA,Patricio Arriagada Y Pablo Fernández,76.204.505-2,Calle San Ignacio N° 1265,Santiago,225441600,225441600,2p.parriagada@gmail.com / 2p.pfernandez@gmail.com,PRIMERA,
contacto@arcoestudio.cl,ARCO ESTUDIO LIMITADA,ARCO ESTUDIO LIMITADA,Estimados ARCO ESTUDIO LIMITADA,Omar Humberto Jara Hernández,76.312.672-2,"Avda. Bernardo O'Higgins N°1334, Of. M",Talagante,984142517,984142517 / 225119237,ojara@arcoestudio.cl,PRIMERA,
egis.alegria@gmail.com,ARQUITECTURA Y CONSTRUCCIÓN ALEGRIA OYARZÚN LTDA.,EGIS ALEGRIA LTDA,Estimados EGIS ALEGRIA LTDA,Fernando Oyarzun Villa,76.064.031-K,Calle Alhue N°39,Maipu,228480169,228480169 / 998747007 / 9657720259,,PRIMERA,
scgalvez@conavicoop.cl,ASESORIAS CON VIVIENDA LIMITADA,CONVIVIENDA LTDA.,Estimados CONVIVIENDA LTDA.,Conavicoop Londres 94,96.786.070-0,,Santiago,227140198,227140198 / 998440652 / 227140201,icano@conservicios.cl / rbonilla@conavicoop.cl,PRIMERA,
info@consultoragea.cl,ASESORIAS Y CONSULTORIAS GEA LIMITADA,GEA CONSULTORES,Estimados GEA CONSULTORES,Daniela Donoso Grunberg,76.977.620-6,Eliodoro Yañez N° 2979 Of 710,Providencia,222324245,222324245 / 990893408,daniela@consultoragea.cl,PRIMERA,
egis.mcs@gmail.com,ASESORIAS Y GESTION INMOBILIARIA MCS SOCIEDAD DE RESPONSABILIDAD LIMITADA,MCS LTDA.,Estimados MCS LTDA.,Andrés Cristobal Veloso,76.187.381-4,Sánchez Bombero Ossa N°1010 Of 720,Santiago,998466971,998466971 / 226965961,msanchezvergara@gmail.com,PRIMERA,
canahueltda@gmail.com,ASESORÍAS CANAHUE LIMITADA,CANAHUE LTDA.,Estimados CANAHUE LTDA.,Pablo,76.637.099-3,Andrés Ramírez Paredes Calle Hamburgo N° 1371,Ñuñoa,228139484,228139484 / 954224378 / 984945576,beapulgar@gmail.com / pabloramirez.737@gmail.com,PRIMERA,
francisco@urbanismosocial.cl,ASESORÍAS GESTIÓN VIVIENDA LIMITADA,ASESORÍAS GESTIÓN VIVIENDA LIMITADA,Estimados ASESORÍAS GESTIÓN VIVIENDA LIMITADA,Pilar Goycoolea Ferrer,76.003.928-4,"Calle Román Díaz N° 221, Casa B",Providencia,223358006,223358006 / 991393194 / 968483233,paola@urbanismosocial.cl / pilar@urbanismosocial.cl,PRIMERA,
p.alcuboarquitectura@gmail.com,ASESORÍAS P AL CUBO LIMITADA,P AL CUBO LIMITADA,Estimados P AL CUBO LIMITADA,Ainohan Peña Salazar,76.797.831-6,Matias Cousiño N°82 Oficina 1104,Santiago,229798257,229798257 / 934553334 / 975787867,p.alcubosocial@gmail.com,PRIMERA,
contacto@baitconsultores.com,BAIT CONSULTORES LIMITADA,BAIT CONSULTORES LIMITADA,Estimados BAIT CONSULTORES LIMITADA,Román Yosif Capdeville,77.948.811-K,Avda. Las Condes N°7700 Oficina,Las Condes,10061007,10061007 / 999910265 / 998716084,ryosif@gmail.com,PRIMERA,
paulina@bergeryberger.cl,BERGER y BERGER LIMITADA,BERGER Y BERGER LTDA,Estimados BERGER Y BERGER LTDA,Paulina Berger Recart,77.171.220-7,Estado N°115 Oficina 307,Santiago,226332284,226332284,rodrigo@bergeryberger.cl,PRIMERA,
comunidadrosilspa@gmail.com,COMUNIDAD ROSIL SPA,COMUNIDAD ROSIL SPA,Estimados COMUNIDAD ROSIL SPA,Adriana Pilar Toro Silva,76.953.793-7,Calle Islandia N°861,San Miguel,985699455,985699455 / 984687434,,PRIMERA,
gguajardo@constructoraoval.cl,CONSTRUCTORA INMOBILIARIA E INVERSIONES OVAL LIMITADA,CONSTRUCTORA OVAL LTDA,Estimados CONSTRUCTORA OVAL LTDA,Oscar Rodrigo Valladares,76.048.251-K,Plaza Av. Presidente Riesco N° 3316,Las Condes,931992358,931992358,,PRIMERA,
alborada.central@gmail.com,CONSULTORA DE VIVIENDA Y URBANISMO ALBORADA SPA,CONSULTORA DE VIVIENDA Y URBANISMO ALBORADA SPA,Estimados CONSULTORA DE VIVIENDA Y URBANISMO ALBORADA SPA,Karla Rosita De,76.718.487-5,Jesús Roa Umaña Eleodoro Yañez N°2876,Providencia,228125996,228125996,kroau@gmail.com,PRIMERA,
