correo,entidad,entidad_corta,saludo,nombre_contacto_aprox,rut,direccion_aprox,comuna,telefono_1,telefonos_todos,correos_adicionales,categoria,nota
sepher.limitada@gmail.com,CONSTRUCTORA SEPHER LIMITADA,SEPHER LIMITADA,Estimados SEPHER LIMITADA,Catalina Michel Hernández,76.543.596-K,Farías Concha Y Toro N°17-A,Santiago,225437847,225437847 / 983824338 / 968324434,,SEGUNDA,
cristian.lecaros@gmail.com,CONSULTORA E INMOBILIARIA HOGAR SPA,HOGAR SPA,Estimados HOGAR SPA,Cristian Lecaros Villarroel,76.834.891-K,"Camino La Estrella Sitio 2, Lote 4, Huelquen",Paine,992326777,992326777,,SEGUNDA,
rmiranda@nucleosocial.cl,CONSULTORA NÚCLEO SOCIAL LIMITADA,CONSULTORA NÚCLEO SOCIAL LIMITADA,Estimados CONSULTORA NÚCLEO SOCIAL LIMITADA,Rene Miranda Barrales,76.246.733-K,Calle Serrano N°73 Oficina 710,Santiago,993096989,993096989 / 966004822,mrodriguez@nucleosocial.cl,SEGUNDA,
consultoraveyese@gmail.com,CONSULTORA V Y S LIMITADA,VEYESE CONSULTORES LTDA.,Estimados VEYESE CONSULTORES LTDA.,Rossana Jimena Vicentelo Lay,76.117.600-5,"Presidente Juan Antonio Rios N°33, Depto. 01",Santiago,226331228,226331228 / 226326454 / 991006510,rossanavicentelo@gmail.com,SEGUNDA,
puppy.rojas@consultorataurus.cl,CONSULTORA Y ASESORÍAS TAURUS SpA,TAURUS SpA,Estimados TAURUS SpA,Puppy Antonieta Rojas,76.382.897-2,Naranjo Marchant Pereira 150 Of 901,Providencia,992348048,992348048 / 994344721 / 994378081,puppyrojas@vtr.net / david.araya@consultorataurus.cl,SEGUNDA,
smontecinos@delarivera-ep.cl,DE LA RIVERA ENTIDAD PATROCINANTE SPA,DE LA RIVERA ENTIDAD PATROCINANTE SPA,Estimados DE LA RIVERA ENTIDAD PATROCINANTE SPA,Stephanie Montecinos Antonio,77.044.623-6,Bellet N°193 Of 810,Providencia,224376739,224376739 / 989889559,,SEGUNDA,
administracion@dualestudio.cl,DUAL ESTUDIO GESTIÓN INMOBILIARIA TÉCNICO SOCIAL SpA (Ex Estudios EJ),DUAL ESTUDIOS SPA,Estimados DUAL ESTUDIOS SPA,Evelyn Catalán Barros,76.830.004-6,Perez Valenzuela N°1098 Of 39,Providencia,977060384,977060384,e.catalan@dualestudio.cl,SEGUNDA,
fbd.dunamis@gmail.com,EP DUNAMIS SPA,EGIS DUNAMIS SPA,Estimados EGIS DUNAMIS SPA,Fabian Barahona Diaz,77.280.619-1,"Avda. Nueva Providencia N° 1881, Of. 520",Providencia,227532604,227532604 / 996490513,,SEGUNDA,
bordesurarq@gmail.com,GESTIÓN Y PROYECTOS INMOBILIARIOS BORDE SUR SPA,BORDE SUR SPA,Estimados BORDE SUR SPA,Esthefanie Briones,76.738.472-6,Calle Islandia N°871,San Miguel,232313921,232313921 / 944396869 / 983347950,ebbarq@gmail.com,SEGUNDA,
contacto@gypinmobiliarios.cl,"GESTIÓN Y PROYECTOS INMOBILIARIOS, IVÁN GARAY ACUÑA E.I.R.L.",GESTION Y PROYECTOS E.I.R.L,Estimados GESTION Y PROYECTOS E.I.R.L,Iván Antonio Garay Acuña,76.131.089-5,"Calle Héctor Bocardo N° 1827, Depto D",Independencia,227379186,227379186,igaray@gypinmobiliarios.cl,SEGUNDA,
contacto@epmodelo.cl,INMOBILIARIA SOCIAL MODELO LIMITADA,INMOBILIARIA SOCIAL MODELO LIMITADA,Estimados INMOBILIARIA SOCIAL MODELO LIMITADA,Iván Alejandro Pozo Lobos,76.149.336-1,"Calle Carmen N°8, Piso 2, Oficina 6",Santiago,994736966,994736966,vladimir@epmodelo.cl,SEGUNDA,
diazsotoalexis@gmail.com,INMOBILIARIA Y CONSULTORA SOCIAL DESARROLLA FUTURO SPA,DESARROLLA FUTURO SPA,Estimados DESARROLLA FUTURO SPA,Alexis Díaz Soto,76.501.997-4,"Av. Libertador Bernardo O´Higgins N° 4.050, Of N° 1.008",Estación Central,232450753,232450753 / 931952864,desarrollafuturo@gmail.com,SEGUNDA,
contacto@socialurbano.org,INMOBILIARIA Y CONSULTORA URBANO LIMITADA,SOCIAL Y URBANO LTDA,Estimados SOCIAL Y URBANO LTDA,Karen Elena Navarrete Berríos,76.151.838-0,"Pasaje Santa Florentina N° 0637, Villa Santa Felicia (Se Ingresa Por Av. Concha Y Toro, A La Izquierda Por Calle Maestro Palomo, A La Izquierda Por Calle Santa Frida)",Puente Alto,222657214,222657214 / 994871927 / 933036839,socialurbano@gmail.com,SEGUNDA,
contacto@egisnuevohogar.cl,NUEVO HOGAR SpA,NUEVO HOGAR SpA,Estimados NUEVO HOGAR SpA,Marcia Alejandra Perez Tirado,76.423.609-2,"Av. Pajaritos N° 3195, Oficina N° 903",Maipú,232026631,232026631 / 942686753,marcia.perez@egisnuevohogar.cl,SEGUNDA,
psat.innova@gmail.com,PRESTADOR DE SERVICIOS DE ASISTENCIA TECNICA INNOVA SPA,PSAT INNOVA SPA,Estimados PSAT INNOVA SPA,Evelyn Norma Toro Tapia,76.906.744-2,"San Martin #347, Oficina 209 A",Buin,232481309,232481309,,SEGUNDA,
administracion@proactiva-chile.cl,PROACTIVA CHILE SPA,PROACTIVA SPA,Estimados PROACTIVA SPA,Ximena León Gaule,76.876.172-8,"Avda. Ossa N° 180, Oficina B",Ñuñoa,233420612,233420612,,SEGUNDA,
entidadpatrocinanteminga@gmail.com,QUINTRIQUEO INMOBILIARIA LIMITADA,MINGA LTDA,Estimados MINGA LTDA,Angélica María Quintriqueo,76.317.126-4,"Lincopí Almirante Pastene N°185, Oficina 310",Providencia,975574830,975574830 / 930034929 / 948669333,mingainmobiliaria@gmail.com,SEGUNDA,
sociedad.solan@gmail.com,SOCIEDAD DE PROFESIONALES ARQUITECTOS SOLAN LIMITADA,SOCIEDAD DE PROFESIONALES ARQUITECTOS SOLAN LIMITADA,Estimados SOCIEDAD DE PROFESIONALES ARQUITECTOS SOLAN LIMITADA,Evelyn Maeva Catalán Barros,77.783.755-9,Calle Perez Valenzuela N°1098 Oficina 39,Providencia,932324408,932324408 / 977060384,solan.metropolitana@dualestudio.cl,SEGUNDA,
egisproyecta@gmail.com,SOCIEDAD DE SERVICIOS PROFESIONALES PROYECTA ARQUITECTOS CONSULTORES LIMITADA,PROYECTA ARQUITECTOS LTDA.,Estimados PROYECTA ARQUITECTOS LTDA.,Marco Antonio Rojas Caamaño,76.879.530-4,"Av. Larraín N° 6642, Oficina N° 005",La Reina,968472303,968472303 / 222604534,,SEGUNDA,
ivanulloa.runtime@gmail.com,SOCIEDAD INMOBILIARIA RUNTIME LIMITADA,RUNTIME LTDA.,Estimados RUNTIME LTDA.,Iván Gabriel Ulloa Díaz,76.560.947-K,"Calle Bombero Ossa N° 1010, Oficina N° 206",Santiago,986699631,986699631 / 986698299,fabiola.runtime@gmail.com / run.timeltda@gmail.com,SEGUNDA,
entidadpatrocinantesum@gmail.com,SOCIEDAD URBANA METROPOLITANA SPA,SOCIEDAD SUM SPA,Estimados SOCIEDAD SUM SPA,Solange Saldías Vergara,76.532.403-3,Los Nogales N°2735 (Entrada Por Calle Parque),La Pintana,998856278,998856278 / 975930754,entidadpatrocinante@gmail.com / secretaria.epsum@gmail.com,SEGUNDA,
